14/04/2022 17:17:   n estimator: 100, max depth: 8, score: [0.82634972 0.8300013  0.84638293 0.85017921 0.80042293], mean_score: 0.8306672194908404
14/04/2022 18:27:   n estimator: 100, max depth: 15, score: [0.83930285 0.84358426 0.85547401 0.85958494 0.81697767], mean_score: 0.8429847454202586
14/04/2022 19:53:   n estimator: 100, max depth: 25, score: [0.84118126 0.84966831 0.85008345 0.85346406 0.82182733], mean_score: 0.8432448814655172
14/04/2022 21:30:   n estimator: 100, max depth: 36, score: [0.84014629 0.85035969 0.84848391 0.84930052 0.82202569], mean_score: 0.8420632197939117
14/04/2022 23:08:   n estimator: 100, max depth: None, score: [0.83919236 0.85010871 0.84883749 0.8483329  0.8227497 ], mean_score: 0.8418442298626078
15/04/2022 02:28:   n estimator: 500, max depth: 8, score: [0.82846964 0.82986713 0.84691962 0.85025235 0.80065655], mean_score: 0.8312330574824893
15/04/2022 07:43:   n estimator: 500, max depth: 15, score: [0.84157904 0.84330276 0.85579234 0.86040786 0.81723812], mean_score: 0.8436640246161099
15/04/2022 14:29:   n estimator: 500, max depth: 25, score: [0.84530587 0.84990455 0.85120418 0.85568448 0.82256554], mean_score: 0.8449329244679419
15/04/2022 21:52:   n estimator: 500, max depth: 36, score: [0.84597884 0.85111736 0.850366   0.85300104 0.82351579], mean_score: 0.8447958058324353
16/04/2022 05:25:   n estimator: 500, max depth: None, score: [0.84523536 0.85148726 0.85058173 0.85246803 0.82359419], mean_score: 0.8446733145878232
16/04/2022 13:33:   n estimator: 1200, max depth: 8, score: [0.82816709 0.82977979 0.84682544 0.8500261  0.80056921], mean_score: 0.8310735242120151
17/04/2022 02:01:   n estimator: 1200, max depth: 15, score: [0.84147065 0.84324436 0.8558518  0.86051836 0.81717077], mean_score: 0.8436511861866919
17/04/2022 18:07:   n estimator: 1200, max depth: 25, score: [0.84600672 0.85008976 0.8515304  0.85606121 0.82243768], mean_score: 0.8452251565867457
18/04/2022 23:14:   n estimator: 1200, max depth: 36, score: [0.84667653 0.85151304 0.85065907 0.85331305 0.82376151], mean_score: 0.8451846418709591
19/04/2022 18:51:   n estimator: 1200, max depth: None, score: [0.84676177 0.85163301 0.85075694 0.85315362 0.82392094], mean_score: 0.8452452560950968
21/04/2022 01:24:   n estimator: 2000, max depth: 36, score: [0.84695645 0.85160407 0.85079009 0.85343723 0.82365628], mean_score: 0.8452888225686961
22/04/2022 08:08:   n estimator: 2000, max depth: None, score: [0.84709062 0.85161459 0.85084955 0.85324518 0.82397566], mean_score: 0.8453551193763469
