CV (%),Value,agg_level_desc,asd_code,asd_desc,begin_code,class_desc,commodity_desc,congr_district_code,country_code,country_name,county_ansi,county_code,county_name,domain_desc,domaincat_desc,end_code,freq_desc,group_desc,load_time,location_desc,prodn_practice_desc,reference_period_desc,region_desc,sector_desc,short_desc,source_desc,state_alpha,state_ansi,state_fips_code,state_name,statisticcat_desc,unit_desc,util_practice_desc,watershed_code,watershed_desc,week_ending,year,zip_5
"","175,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ALABAMA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,AL,01,01,ALABAMA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","210,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ARKANSAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,AR,05,05,ARKANSAS,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","340,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,CALIFORNIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,CA,06,06,CALIFORNIA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","2,200,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,COLORADO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,CO,08,08,COLORADO,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","60,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,DELAWARE,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,DE,10,10,DELAWARE,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","220,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,GEORGIA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,GA,13,13,GEORGIA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","710,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,IDAHO,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,ID,16,16,IDAHO,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","670,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,ILLINOIS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,IL,17,17,ILLINOIS,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","340,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,INDIANA,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,IN,18,18,INDIANA,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
"","7,300,000",STATE,"","",00,WINTER,WHEAT,"",9000,UNITED STATES,"","","",TOTAL,NOT SPECIFIED,00,ANNUAL,FIELD CROPS,2021-09-30 12:01:02,KANSAS,ALL PRODUCTION PRACTICES,YEAR,"",CROPS,"WHEAT, WINTER - ACRES PLANTED",SURVEY,KS,20,20,KANSAS,AREA PLANTED,ACRES,ALL UTILIZATION PRACTICES,00000000,"","",2021,""
